p_reserved_1|{!}last spawn point
p_reserved_2|{!}last spawn point
p_reserved_3|{!}last spawn point
p_reserved_4|{!}last spawn point
p_reserved_5|{!}last spawn point
p_routed_enemies|{!}routed enemies
p_salt_mine|Salt Mine
p_sea_raider_spawn_point_1|the coast
p_sea_raider_spawn_point_2|the coast
p_spawn_points_end|{!}last spawn point
p_steppe_bandit_spawn_point|the steppes
p_taiga_bandit_spawn_point|the tundra
p_temp_casualties|{!}casualties
p_temp_casualties_2|{!}casualties
p_temp_casualties_3|{!}casualties
p_temp_killed|{!}enemies killed
p_temp_party|{!}temp party
p_temp_party_2|{!}temp party 2
p_temp_wounded|{!}enemies wounded
p_test_scene|test scene
p_total_enemy_casualties|{!}
p_town_1|里 尔
p_town_10|佩 泽 尔 霍 克
p_town_11|考 滕
p_town_12|洛 维
p_town_13|加 尔 格
p_town_14|孔 特
p_town_15|卡 斯 特
p_town_16|库 特 霍 夫
p_town_17|多 津 厄 姆
p_town_18|佩 泽 尔 霍 克 北
p_town_19|卢 森 堡
p_town_2|布 鲁 塞 尔
p_town_20|特 里 尔
p_town_21|科 布 伦 茨
p_town_22|美 因 茨
p_town_3|卡 塞 尔
p_town_4|弗 勒 尔 拜
p_town_5|阿 贝 勒
p_town_6|伯 津
p_town_7|圣 让
p_town_8|基 勒 姆
p_town_9|瓦 雷 姆
p_training_ground|Training Ground
p_training_ground_1|Training Field
p_training_ground_2|Training Field
p_training_ground_3|Training Field
p_training_ground_4|Training Field
p_training_ground_5|Training Field
p_village_1|Ronse村
p_village_10|Bethune村
p_village_100|Ramskapelle村
p_village_101|Tervate村
p_village_102|Oostduinkerke-Bad村
p_village_103|De Haan村
p_village_104|Zedelgem村
p_village_105|Bredene村
p_village_106|Moorslede村
p_village_107|Diksmuide村
p_village_108|Mouvaux村
p_village_109|Wattrelos村
p_village_11|Heuchin村
p_village_110|Leers村
p_village_12|Frevent村
p_village_13|Bully les mines村
p_village_14|Saint Omer村
p_village_15|Lumbres村
p_village_16|Marck村
p_village_17|Mazen村
p_village_18|Ulburban村
p_village_19|Hanun村
p_village_2|Brakel村
p_village_20|Bree村
p_village_21|Opitter村
p_village_22|Solt村
p_village_23|Ilvia村
p_village_24|Ruldi村
p_village_25|Dashbigha村
p_village_26|Pagundur村
p_village_27|Glunmar村
p_village_28|Tash Kulun村
p_village_29|Buillin村
p_village_3|Ellezelles村
p_village_30|Douvin村
p_village_31|Vimy村
p_village_32|Barlin村
p_village_33|La Bassee村
p_village_34|Secin村
p_village_35|Templeuve村
p_village_36|Santes村
p_village_37|Merville村
p_village_38|La Gorgue村
p_village_39|Roeux村
p_village_4|Deinze村
p_village_40|Nieppe村
p_village_41|De panne村
p_village_42|Sint-Joris村
p_village_43|Ratevalle村
p_village_44|Lombardsijde村
p_village_45|Ramskapelle村
p_village_46|Bray-Dunes村
p_village_47|Ghyvelde村
p_village_48|Saint-Pol-Sur-Mer村
p_village_49|Bourbourg村
p_village_5|Eeklo村
p_village_50|Merkem村
p_village_51|Aalter村
p_village_52|Deinz村
p_village_53|Ath村
p_village_54|Villeneuve-de-Ascq村
p_village_55|Pittem村
p_village_56|Brakel村
p_village_57|Bornem村
p_village_58|Vezin村
p_village_59|Brakel村
p_village_6|Sint-Niklaas村
p_village_60|Peruwelz村
p_village_61|Courcelles村
p_village_62|Mettet村
p_village_63|Dour村
p_village_64|Thuin村
p_village_65|Frameries村
p_village_66|Douchy-les-mines村
p_village_67|Raisemes村
p_village_68|Vieux-Conde村
p_village_69|Trelon村
p_village_7|Ninove村
p_village_70|Nivelles村
p_village_71|Fieurus村
p_village_72|Pont-a-Celles村
p_village_73|Herzeel村
p_village_74|Fosses-la-Ville村
p_village_75|Lobbes村
p_village_76|Dour村
p_village_77|Hornu村
p_village_78|Bray-Dunes村
p_village_79|Koksijde-bad村
p_village_8|Merelbeke村
p_village_80|Koksijde村
p_village_81|Pervijze村
p_village_82|Diksmuide村
p_village_83|Zarren村
p_village_84|Markem村
p_village_85|Bikschote村
p_village_86|Hondschoote村
p_village_87|乌 古 蒙 庄 园
p_village_88|Kruiske村
p_village_89|Gapaard村
p_village_9|Cassel村
p_village_90|Draalbrug村
p_village_91|Slijpe村
p_village_92|Ten Putte村
p_village_93|Spermalie村
p_village_94|Leke村
p_village_95|Houtem村
p_village_96|Nieuwstad村
p_village_97|Korte-wilde村
p_village_98|Draalibrug村
p_village_99|Kousse-Boom村
p_zendar|Zendar
