itm_no_item|INVALID ITEM
itm_mail_chausses_pl|Mail Chausses
itm_sarranid_boots_d|Sarranid Mail 军 靴
itm_sarranid_boots_d_pl|Sarranid Mail 军 靴
itm_mail_boots|Mail 军 靴
itm_mail_boots_pl|Mail 军 靴
itm_sarranid_boots_c|Plated 军 靴
itm_sarranid_boots_c_pl|Plated 军 靴
itm_splinted_leather_greaves|Splinted 皮 革 Greaves
itm_splinted_leather_greaves_pl|Splinted 皮 革 Greaves
itm_splinted_greaves|Splinted Greaves
itm_splinted_greaves_pl|Splinted Greaves
itm_iron_greaves|铁 矿 Greaves
itm_iron_greaves_pl|铁 矿 Greaves
itm_plate_boots|Plate 军 靴
itm_plate_boots_pl|Plate 军 靴
itm_black_greaves|黑 色 Greaves
itm_black_greaves_pl|黑 色 Greaves
itm_courtly_outfit|Courtly Outfit
itm_courtly_outfit_pl|Courtly Outfit
itm_nobleman_outfit|Nobleman Outfit
itm_nobleman_outfit_pl|Nobleman Outfit
itm_rich_outfit|Rich Outfit
itm_rich_outfit_pl|Rich Outfit
itm_lady_dress_ruby|Lady 礼 服 裙
itm_lady_dress_ruby_pl|Lady 礼 服 裙
itm_lady_dress_green|Lady 礼 服 裙
itm_lady_dress_green_pl|Lady 礼 服 裙
itm_lady_dress_blue|Lady 礼 服 裙
itm_lady_dress_blue_pl|Lady 礼 服 裙
itm_red_dress|红 色 礼 服 裙
itm_red_dress_pl|红 色 礼 服 裙
itm_brown_dress|棕 色 礼 服 裙
itm_brown_dress_pl|棕 色 礼 服 裙
itm_green_dress|绿 色 礼 服 裙
itm_green_dress_pl|绿 色 礼 服 裙
itm_khergit_lady_dress|Khergit Lady 礼 服 裙
itm_khergit_lady_dress_pl|Khergit Lady 礼 服 裙
itm_khergit_lady_dress_b|Khergit 皮 革 Lady 礼 服 裙
itm_khergit_lady_dress_b_pl|Khergit 皮 革 Lady 礼 服 裙
itm_sarranid_lady_dress|Sarranid Lady 礼 服 裙
itm_sarranid_lady_dress_pl|Sarranid Lady 礼 服 裙
itm_sarranid_lady_dress_b|Sarranid Lady 礼 服 裙
itm_sarranid_lady_dress_b_pl|Sarranid Lady 礼 服 裙
itm_sarranid_common_dress|Sarranid 礼 服 裙
itm_sarranid_common_dress_pl|Sarranid 礼 服 裙
itm_sarranid_common_dress_b|Sarranid 礼 服 裙
itm_sarranid_common_dress_b_pl|Sarranid 礼 服 裙
itm_shirt|衬 衣
itm_shirt_pl|衬 衣
itm_dress|礼 服 裙
itm_dress_pl|礼 服 裙
itm_blue_dress|蓝 色 礼 服 裙
itm_blue_dress_pl|蓝 色 礼 服 裙
itm_peasant_dress|Peasant 礼 服 裙
itm_peasant_dress_pl|Peasant 礼 服 裙
itm_tunic_with_green_cape|礼 服 上 装 with 绿 色 Cape
itm_tunic_with_green_cape_pl|礼 服 上 装 with 绿 色 Cape
itm_linen_tunic|亚 麻 布 礼 服 上 装
itm_linen_tunic_pl|亚 麻 布 礼 服 上 装
itm_short_tunic|红 色 礼 服 上 装
itm_short_tunic_pl|红 色 礼 服 上 装
itm_red_shirt|红 色 衬 衣
itm_red_shirt_pl|红 色 衬 衣
itm_red_tunic|红 色 礼 服 上 装
itm_red_tunic_pl|红 色 礼 服 上 装
itm_green_tunic|绿 色 礼 服 上 装
itm_green_tunic_pl|绿 色 礼 服 上 装
itm_blue_tunic|蓝 色 礼 服 上 装
itm_blue_tunic_pl|蓝 色 礼 服 上 装
itm_woolen_dress|Woolen 礼 服 裙
itm_woolen_dress_pl|Woolen 礼 服 裙
itm_robe|Robe
itm_robe_pl|Robe
itm_sarranid_dress_a|礼 服 裙
itm_sarranid_dress_a_pl|礼 服 裙
itm_sarranid_dress_b|礼 服 裙
itm_sarranid_dress_b_pl|礼 服 裙
itm_sarranid_cloth_robe|Worn Robe
itm_sarranid_cloth_robe_pl|Worn Robe
itm_sarranid_cloth_robe_b|Worn Robe
itm_sarranid_cloth_robe_b_pl|Worn Robe
itm_coarse_tunic|礼 服 上 装 with 背 心
itm_coarse_tunic_pl|礼 服 上 装 with 背 心
itm_leather_apron|皮 革 Apron
itm_leather_apron_pl|皮 革 Apron
itm_tabard|Tabard
itm_tabard_pl|Tabard
itm_skirmisher_armor|Skirmisher 护 甲
itm_skirmisher_armor_pl|Skirmisher 护 甲
itm_nomad_robe|Nomad Robe
itm_nomad_robe_pl|Nomad Robe
itm_gambeson|Gambeson
itm_gambeson_pl|Gambeson
itm_blue_gambeson|蓝 色 Gambeson
itm_blue_gambeson_pl|蓝 色 Gambeson
itm_red_gambeson|红 色 Gambeson
itm_red_gambeson_pl|红 色 Gambeson
itm_padded_cloth|Aketon
itm_padded_cloth_pl|Aketon
itm_aketon_green|Padded 布 料
itm_aketon_green_pl|Padded 布 料
itm_archers_vest|Archer's Padded 背 心
itm_archers_vest_pl|Archer's Padded 背 心
itm_pelt_coat|Pelt 军 大 衣
itm_pelt_coat_pl|Pelt 军 大 衣
itm_rawhide_coat|Rawhide 军 大 衣
itm_rawhide_coat_pl|Rawhide 军 大 衣
itm_fur_coat|Fur 军 大 衣
itm_fur_coat_pl|Fur 军 大 衣
itm_nomad_vest|Nomad 背 心
itm_nomad_vest_pl|Nomad 背 心
itm_nomad_armor|Nomad 护 甲
itm_nomad_armor_pl|Nomad 护 甲
itm_khergit_armor|Khergit 护 甲
itm_khergit_armor_pl|Khergit 护 甲
itm_leather_vest|皮 革 背 心
itm_leather_vest_pl|皮 革 背 心
itm_leather_armor|皮 革 护 甲
itm_leather_armor_pl|皮 革 护 甲
itm_leather_jacket|皮 革 短 上 衣
itm_leather_jacket_pl|皮 革 短 上 衣
itm_leather_jerkin|皮 革 Jerkin
itm_leather_jerkin_pl|皮 革 Jerkin
itm_ragged_outfit|Ragged Outfit
itm_ragged_outfit_pl|Ragged Outfit
itm_light_leather|轻 型 皮 革
itm_light_leather_pl|轻 型 皮 革
itm_padded_leather|Padded 皮 革
itm_padded_leather_pl|Padded 皮 革
itm_tribal_warrior_outfit|Tribal Warrior Outfit
itm_tribal_warrior_outfit_pl|Tribal Warrior Outfit
itm_sarranid_leather_armor|Sarranid 皮 革 护 甲
itm_sarranid_leather_armor_pl|Sarranid 皮 革 护 甲
itm_studded_leather_coat|Studded 皮 革 军 大 衣
itm_studded_leather_coat_pl|Studded 皮 革 军 大 衣
itm_sarranid_cavalry_robe|Cavalry Robe
itm_sarranid_cavalry_robe_pl|Cavalry Robe
itm_mail_shirt|Mail 衬 衣
itm_mail_shirt_pl|Mail 衬 衣
itm_byrnie|Byrnie
itm_byrnie_pl|Byrnie
itm_mail_with_tunic_red|Mail with 礼 服 上 装
itm_mail_with_tunic_red_pl|Mail with 礼 服 上 装
itm_mail_with_tunic_green|Mail with 礼 服 上 装
itm_mail_with_tunic_green_pl|Mail with 礼 服 上 装
itm_sarranid_mail_shirt|Sarranid Mail 衬 衣
itm_sarranid_mail_shirt_pl|Sarranid Mail 衬 衣
itm_mail_hauberk|Mail Hauberk
itm_mail_hauberk_pl|Mail Hauberk
itm_haubergeon|Haubergeon
itm_haubergeon_pl|Haubergeon
itm_mail_with_surcoat|Mail with Surcoat
itm_mail_with_surcoat_pl|Mail with Surcoat
itm_surcoat_over_mail|Surcoat over Mail
itm_surcoat_over_mail_pl|Surcoat over Mail
itm_banded_armor|Banded 护 甲
itm_banded_armor_pl|Banded 护 甲
itm_heraldic_mail_with_surcoat|Heraldic Mail with Surcoat
itm_heraldic_mail_with_surcoat_pl|Heraldic Mail with Surcoat
itm_heraldic_mail_with_tunic|Heraldic Mail
itm_heraldic_mail_with_tunic_pl|Heraldic Mail
itm_heraldic_mail_with_tunic_b|Heraldic Mail
itm_heraldic_mail_with_tunic_b_pl|Heraldic Mail
itm_heraldic_mail_with_tabard|Heraldic Mail with Tabard
itm_heraldic_mail_with_tabard_pl|Heraldic Mail with Tabard
itm_steppe_armor|Steppe 护 甲
itm_steppe_armor_pl|Steppe 护 甲
itm_arabian_armor_b|Sarranid 近 卫 护 甲
itm_arabian_armor_b_pl|Sarranid 近 卫 护 甲
itm_lamellar_vest|Lamellar 背 心
itm_lamellar_vest_pl|Lamellar 背 心
itm_lamellar_vest_khergit|Khergit Lamellar 背 心
itm_lamellar_vest_khergit_pl|Khergit Lamellar 背 心
itm_lamellar_armor|Lamellar 护 甲
itm_lamellar_armor_pl|Lamellar 护 甲
itm_scale_armor|Scale 护 甲
itm_scale_armor_pl|Scale 护 甲
itm_khergit_elite_armor|Khergit 精 锐 护 甲
itm_khergit_elite_armor_pl|Khergit 精 锐 护 甲
itm_vaegir_elite_armor|Vaegir 精 锐 护 甲
itm_vaegir_elite_armor_pl|Vaegir 精 锐 护 甲
itm_sarranid_elite_armor|Sarranid 精 锐 护 甲
itm_sarranid_elite_armor_pl|Sarranid 精 锐 护 甲
itm_mamluke_mail|Mamluke Mail
itm_mamluke_mail_pl|Mamluke Mail
itm_brigandine_red|Brigandine
itm_brigandine_red_pl|Brigandine
itm_cuir_bouilli|Cuir Bouilli
itm_cuir_bouilli_pl|Cuir Bouilli
itm_coat_of_plates|军 大 衣 of Plates
itm_coat_of_plates_pl|军 大 衣 of Plates
itm_coat_of_plates_red|军 大 衣 of Plates
itm_coat_of_plates_red_pl|军 大 衣 of Plates
itm_plate_armor|Plate 护 甲
itm_plate_armor_pl|Plate 护 甲
itm_black_armor|黑 色 护 甲
itm_black_armor_pl|黑 色 护 甲
itm_burlap_tunic|Burlap 礼 服 上 装
itm_burlap_tunic_pl|Burlap 礼 服 上 装
itm_straw_hat|Straw 帽 子
itm_straw_hat_pl|Straw 帽 子
itm_head_wrappings|Head Wrapping
itm_head_wrappings_pl|Head Wrapping
itm_headcloth|Headcloth
itm_headcloth_pl|Headcloth
itm_sarranid_felt_hat|Sarranid Felt 帽 子
itm_sarranid_felt_hat_pl|Sarranid Felt 帽 子
itm_woolen_cap|Woolen 便 帽
itm_woolen_cap_pl|Woolen 便 帽
itm_woolen_hood|Woolen Hood
itm_woolen_hood_pl|Woolen Hood
itm_fur_hat|Fur 帽 子
itm_fur_hat_pl|Fur 帽 子
itm_felt_hat|Felt 帽 子
itm_felt_hat_pl|Felt 帽 子
itm_felt_hat_b|Felt 帽 子
itm_felt_hat_b_pl|Felt 帽 子
itm_turban|Turban
itm_turban_pl|Turban
itm_common_hood|Hood
itm_common_hood_pl|Hood
itm_female_hood|Lady's Hood
itm_female_hood_pl|Lady's Hood
itm_hood_b|Hood
itm_hood_b_pl|Hood
itm_hood_c|Hood
itm_hood_c_pl|Hood
itm_hood_d|Hood
itm_hood_d_pl|Hood
itm_black_hood|黑 色 Hood
itm_black_hood_pl|黑 色 Hood
itm_turret_hat_ruby|Turret 帽 子
itm_turret_hat_ruby_pl|Turret 帽 子
itm_turret_hat_blue|Turret 帽 子
itm_turret_hat_blue_pl|Turret 帽 子
itm_turret_hat_green|Barbette
itm_turret_hat_green_pl|Barbette
itm_court_hat|Turret 帽 子
itm_court_hat_pl|Turret 帽 子
itm_wimple_a|Wimple
itm_wimple_a_pl|Wimple
itm_wimple_with_veil|Wimple with Veil
itm_wimple_with_veil_pl|Wimple with Veil
itm_khergit_lady_hat|Khergit Lady 帽 子
itm_khergit_lady_hat_pl|Khergit Lady 帽 子
itm_khergit_lady_hat_b|Khergit Lady 皮 革 帽 子
itm_khergit_lady_hat_b_pl|Khergit Lady 皮 革 帽 子
itm_sarranid_head_cloth|Lady Head 布 料
itm_sarranid_head_cloth_pl|Lady Head 布 料
itm_sarranid_head_cloth_b|Lady Head 布 料
itm_sarranid_head_cloth_b_pl|Lady Head 布 料
itm_sarranid_felt_head_cloth|Head 布 料
itm_sarranid_felt_head_cloth_pl|Head 布 料
itm_sarranid_felt_head_cloth_b|Head 布 料
itm_sarranid_felt_head_cloth_b_pl|Head 布 料
itm_padded_coif|Padded Coif
itm_padded_coif_pl|Padded Coif
itm_nomad_cap|Nomad 便 帽
itm_nomad_cap_pl|Nomad 便 帽
itm_nomad_cap_b|Nomad 便 帽
itm_nomad_cap_b_pl|Nomad 便 帽
itm_steppe_cap|Steppe 便 帽
itm_steppe_cap_pl|Steppe 便 帽
itm_leather_cap|皮 革 便 帽
itm_leather_cap_pl|皮 革 便 帽
itm_leather_steppe_cap_a|Steppe 便 帽
itm_leather_steppe_cap_a_pl|Steppe 便 帽
itm_leather_steppe_cap_b|Steppe 便 帽
