trp_player|玩 家
trp_french_grenadiers|法 国 掷 弹 兵
trp_french_grenadiers_pl|法 国 掷 弹 兵
trp_old_guard|老 近 卫 军
trp_old_guard_pl|老 近 卫 军
trp_french_voltigeur|法 国 轻 步 兵 散 兵
trp_french_voltigeur_pl|法 国 轻 步 兵 散 兵
trp_french_voltigeur_veteran|法 国 轻 步 兵 散 兵 (老 兵 )
trp_french_voltigeur_veteran_pl|法 国 轻 步 兵 散 兵 (老 兵 )
trp_swadian_sharpshooter|法 国 神 射 手
trp_swadian_sharpshooter_pl|法 国 神 射 手
trp_french_84_veteran|法 国 第 84 步 兵 (老 兵 )
trp_french_84_veteran_pl|法 国 第 84 步 兵 (老 兵 )
trp_french_hussard|法 国 Hussard
trp_french_hussard_pl|法 国 Hussard
trp_swadian_messenger|法 国 Messenger
trp_swadian_messenger_pl|法 国 Messenger
trp_swadian_deserter|法 国 逃 兵
trp_swadian_deserter_pl|法 国 逃 兵
trp_swadian_prison_guard|Prison 近 卫 军
trp_swadian_prison_guard_pl|Prison 近 卫 军
trp_swadian_castle_guard|Castle 近 卫 军
trp_swadian_castle_guard_pl|Castle 近 卫 军
trp_french_cuirassier|法 国 胸 甲 骑 兵
trp_french_cuirassier_pl|法 国 胸 甲 骑 兵
trp_french_hussard_elite|法 国 Hussard (精 锐 )
trp_french_hussard_elite_pl|法 国 Hussard (精 锐 )
trp_french_light_hussar|法 国 Light 骠 骑 兵
trp_french_light_hussar_pl|法 国 Light 骠 骑 兵
trp_swadian_chasseur_pied|猎 骑 兵
trp_swadian_chasseur_pied_pl|猎 骑 兵
trp_french_cuirassier_veteran|法 国 胸 甲 骑 兵 (老 兵 )
trp_french_cuirassier_veteran_pl|法 国 胸 甲 骑 兵 (老 兵 )
trp_french_carabineer|法 国 卡 宾 骑 兵
trp_french_carabineer_pl|法 国 卡 宾 骑 兵
trp_french_carabineer_veteran|法 国 卡 宾 骑 兵 (老 兵 )
trp_french_carabineer_veteran_pl|法 国 卡 宾 骑 兵 (老 兵 )
trp_swadian_artillerie_cheval|Artilleries a cheval
trp_swadian_artillerie_cheval_pl|Artilleries a cheval
trp_prussian_recruit|普 鲁 士 后 备 民 兵
trp_prussian_recruit_pl|普 鲁 士 后 备 民 兵
trp_prussian_footman|普 鲁 士 23th 步 卒
trp_prussian_footman_pl|普 鲁 士 23th 步 卒
trp_prussian_23th_musk|普 鲁 士 23th Musketeer
trp_prussian_23th_musk_pl|普 鲁 士 23th Musketeer
trp_prussian_lutzov_infantry|普 鲁 士 Freikorps 步 卒
trp_prussian_lutzov_infantry_pl|普 鲁 士 Freikorps 步 卒
trp_prussian_veteran_lutzov|普 鲁 士 Freikorps 步 兵 (老 兵 )
trp_prussian_veteran_lutzov_pl|普 鲁 士 Freikorps 步 兵 (老 兵 )
trp_prussian_veteran|普 鲁 士 第 8 Musketeer
trp_prussian_veteran_pl|普 鲁 士 第 8 Musketeer
trp_prussian_infantry|普 鲁 士 第 8 Musketeer (老 兵 )
trp_prussian_infantry_pl|普 鲁 士 第 8 Musketeer (老 兵 )
trp_prussian_guard|普 鲁 士 Honor 近 卫 军
trp_prussian_guard_pl|普 鲁 士 Honor 近 卫 军
trp_prussian_hussar|普 鲁 士 骠 骑 兵
trp_prussian_hussar_pl|普 鲁 士 骠 骑 兵
trp_prussian_hussar_veteran|普 鲁 士 骠 骑 兵 (老 兵 )
trp_prussian_hussar_veteran_pl|普 鲁 士 骠 骑 兵 (老 兵 )
trp_prussian_messenger|普 鲁 士 Messenger
trp_prussian_messenger_pl|普 鲁 士 Messenger
trp_prussian_deserter|普 鲁 士 逃 兵
trp_prussian_deserter_pl|普 鲁 士 逃 兵
trp_vaegir_prison_guard|Prison 近 卫 军
trp_vaegir_prison_guard_pl|Prison 近 卫 军
trp_vaegir_castle_guard|Castle 近 卫 军
trp_vaegir_castle_guard_pl|Castle 近 卫 军
trp_british_footguards_recruit|英 国 Fencible
trp_british_footguards_recruit_pl|英 国 Fencible
trp_british_footguards_private|英 国 英 王 德 意 志 军 团 步 卒
trp_british_footguards_private_pl|英 国 英 王 德 意 志 军 团 步 卒
trp_british_infantry|英 国 Light 步 兵
trp_british_infantry_pl|英 国 Light 步 兵
trp_british_footguards_veteran|英 国 Footguards
trp_british_footguards_veteran_pl|英 国 Footguards
trp_british_lifeguards_trooper|英 国 Lifeguards Trooper
trp_british_lifeguards_trooper_pl|英 国 Lifeguards Trooper
trp_british_lifeguards_veteran|英 国 Horseguards Trooper
trp_british_lifeguards_veteran_pl|英 国 Horseguards Trooper
trp_british_messenger|英 国 Messenger
trp_british_messenger_pl|英 国 Messenger
trp_british_deserter|英 国 逃 兵
trp_british_deserter_pl|英 国 逃 兵
trp_khergit_prison_guard|Prison 近 卫 军
trp_khergit_prison_guard_pl|Prison 近 卫 军
trp_khergit_castle_guard|Castle 近 卫 军
trp_khergit_castle_guard_pl|Castle 近 卫 军
trp_dutch_recruit|荷 兰 新 兵
trp_dutch_recruit_pl|荷 兰 新 兵
trp_dutch_footman|荷 兰 步 卒
trp_dutch_footman_pl|荷 兰 步 卒
trp_dutch_marksmen|荷 兰 神 射 手
trp_dutch_marksmen_pl|荷 兰 神 射 手
trp_dutch_infantry|荷 兰 步 兵
trp_dutch_infantry_pl|荷 兰 步 兵
trp_dutch_veteran|荷 兰 老 兵
trp_dutch_veteran_pl|荷 兰 老 兵
trp_dutch_genadier|荷 兰 掷 弹 兵
trp_dutch_genadier_pl|荷 兰 掷 弹 兵
trp_dutch_light_company|荷 兰 Light Company
trp_dutch_light_company_pl|荷 兰 Light Company
trp_dutch_carabinier_recruit|荷 兰 卡 宾 骑 兵
trp_dutch_carabinier_recruit_pl|荷 兰 卡 宾 骑 兵
trp_dutch_carabinier_veteran|荷 兰 卡 宾 骑 兵 (老 兵 )
trp_dutch_carabinier_veteran_pl|荷 兰 卡 宾 骑 兵 (老 兵 )
trp_dutch_messenger|荷 兰 Messenger
trp_dutch_messenger_pl|荷 兰 Messenger
trp_dutch_deserter|荷 兰 逃 兵
trp_dutch_deserter_pl|荷 兰 逃 兵
trp_nord_prison_guard|Prison 近 卫 军
trp_nord_prison_guard_pl|Prison 近 卫 军
trp_nord_castle_guard|Castle 近 卫 军
trp_nord_castle_guard_pl|Castle 近 卫 军
trp_brunswick_recruit|德 意 志 后 备 民 兵
trp_brunswick_recruit_pl|德 意 志 后 备 民 兵
trp_brunswick_fusilier|布 伦 瑞 克 燧 发 枪 兵
trp_brunswick_fusilier_pl|布 伦 瑞 克 燧 发 枪 兵
trp_brunswick_voltigeur|普 鲁 士 轻 步 兵 散 兵
trp_brunswick_voltigeur_pl|普 鲁 士 轻 步 兵 散 兵
trp_brunswick_grenadier|布 伦 瑞 克 掷 弹 兵
trp_brunswick_grenadier_pl|布 伦 瑞 克 掷 弹 兵
trp_brunswick_sergeant|巴 伐 利 亚 猎 兵
trp_brunswick_sergeant_pl|巴 伐 利 亚 猎 兵
trp_brunswick_marksman|黑 森 -Kassel Light 步 兵
trp_brunswick_marksman_pl|黑 森 -Kassel Light 步 兵
trp_brunswick_hussard_recruit|布 伦 瑞 克 骠 骑 兵
trp_brunswick_hussard_recruit_pl|布 伦 瑞 克 骠 骑 兵
trp_brunswick_veteran_hussar|布 伦 瑞 克 骠 骑 兵 (老 兵 )
trp_brunswick_veteran_hussar_pl|布 伦 瑞 克 骠 骑 兵 (老 兵 )
trp_brunswick_lancer|布 伦 瑞 克 枪 骑 兵
trp_brunswick_lancer_pl|布 伦 瑞 克 枪 骑 兵
trp_brunswick_messenger|布 伦 瑞 克 Messenger
trp_brunswick_messenger_pl|布 伦 瑞 克 Messenger
trp_brunswick_deserter|布 伦 瑞 克 逃 兵
trp_brunswick_deserter_pl|布 伦 瑞 克 逃 兵
trp_rhodok_prison_guard|Prison 近 卫 军
trp_rhodok_prison_guard_pl|Prison 近 卫 军
trp_rhodok_castle_guard|Castle 近 卫 军
trp_rhodok_castle_guard_pl|Castle 近 卫 军
trp_austrian_recruit|奥 地 利 后 备 民 兵
trp_austrian_recruit_pl|奥 地 利 后 备 民 兵
trp_austrian_footman|德 意 志 燧 发 枪 兵
trp_austrian_footman_pl|德 意 志 燧 发 枪 兵
trp_austrian_infantry|奥 地 利 步 兵
trp_austrian_infantry_pl|奥 地 利 步 兵
trp_austrian_grenadier|奥 地 利 掷 弹 兵
trp_austrian_grenadier_pl|奥 地 利 掷 弹 兵
trp_austrian_dragoon|奥 地 利 Chevauxleger
trp_austrian_dragoon_pl|奥 地 利 Chevauxleger
trp_hungarian_grenzer|匈 牙 利 边 防 步 兵
trp_hungarian_grenzer_pl|匈 牙 利 边 防 步 兵
trp_hungarian_grenadier|匈 牙 利 掷 弹 兵
trp_hungarian_grenadier_pl|匈 牙 利 掷 弹 兵
trp_hungarian_infantry|匈 牙 利 62th 燧 发 枪 兵 (老 兵 )
trp_hungarian_infantry_pl|匈 牙 利 62th 燧 发 枪 兵 (老 兵 )
trp_hungarian_hussar|匈 牙 利 骠 骑 兵 卡 宾 骑 兵
trp_hungarian_hussar_pl|匈 牙 利 骠 骑 兵 卡 宾 骑 兵
trp_costum_battle_cuirassier|奥 地 利 胸 甲 骑 兵
trp_costum_battle_cuirassier_pl|奥 地 利 胸 甲 骑 兵
trp_britain_messenger|Britain Messenger
trp_britain_messenger_pl|Britain Messenger
trp_britain_deserter|Britain 逃 兵
trp_britain_deserter_pl|Britain 逃 兵
trp_sarranid_prison_guard|Prison 近 卫 军
trp_sarranid_prison_guard_pl|Prison 近 卫 军
trp_sarranid_castle_guard|Castle 近 卫 军
trp_sarranid_castle_guard_pl|Castle 近 卫 军
trp_custom_peasant|Mob Levy
trp_custom_peasant_pl|Mob Levy
trp_custom_peasant_equip|{!}na
trp_custom_peasant_equip_pl|{!}na
trp_custom_peasant_selection|{!}na
trp_custom_peasant_selection_pl|{!}na
trp_custom_army_recruit|Armed Citizent
trp_custom_army_recruit_pl|Armed Citizent
trp_custom_army_recruit_equip|Army 新 兵
trp_custom_army_recruit_equip_pl|Army 新 兵
trp_custom_army_recruit_selection|Army 新 兵
trp_custom_army_recruit_selection_pl|Army 新 兵
trp_custom_crossbow_militia|National 民 兵
trp_custom_crossbow_militia_pl|National 民 兵
trp_custom_crossbow_militia_equip|Crossbow 民 兵
trp_custom_crossbow_militia_equip_pl|Crossbow 民 兵
trp_custom_crossbow_militia_selection|Crossbow 民 兵
trp_custom_crossbow_militia_selection_pl|Crossbow 民 兵
trp_custom_crossbowman|Crossbowman
trp_custom_crossbowman_pl|Crossbowman
trp_custom_crossbowman_equip|Crossbowman
trp_custom_crossbowman_equip_pl|Crossbowman
trp_custom_crossbowman_selection|Crossbowman
trp_custom_crossbowman_selection_pl|Crossbowman
trp_custom_pavise_crossbowman|Pavise Crossbowman
trp_custom_pavise_crossbowman_pl|Pavise Crossbowman
trp_custom_pavise_crossbowman_equip|Pavise Crossbowman
trp_custom_pavise_crossbowman_equip_pl|Pavise Crossbowman
trp_custom_pavise_crossbowman_selection|Pavise Crossbowman
trp_custom_pavise_crossbowman_selection_pl|Pavise Crossbowman
trp_custom_mounted_crossbowman|Mounted Crossbowman
trp_custom_mounted_crossbowman_pl|Mounted Crossbowman
trp_custom_mounted_crossbowman_equip|Mounted Crossbowman
trp_custom_mounted_crossbowman_equip_pl|Mounted Crossbowman
trp_custom_mounted_crossbowman_selection|Mounted Crossbowman
trp_custom_mounted_crossbowman_selection_pl|Mounted Crossbowman
trp_custom_infantry|步 兵
trp_custom_infantry_pl|步 兵
trp_custom_infantry_equip|步 兵
trp_custom_infantry_equip_pl|步 兵
trp_custom_infantry_selection|步 兵
trp_custom_infantry_selection_pl|步 兵
trp_custom_squire|Squire
trp_custom_squire_pl|Squire
trp_custom_squire_equip|Squire
trp_custom_squire_equip_pl|Squire
trp_custom_squire_selection|Squire
trp_custom_squire_selection_pl|Squire
trp_custom_knight|Feudal Knight
trp_custom_knight_pl|Feudal Knight
trp_custom_knight_equip|Feudal Knight
trp_custom_knight_equip_pl|Feudal Knight
trp_custom_knight_selection|Feudal Knight
trp_custom_knight_selection_pl|Feudal Knight
trp_custom_warrior|Warrior
trp_custom_warrior_pl|Warrior
trp_custom_warrior_equip|Warrior
trp_custom_warrior_equip_pl|Warrior
trp_custom_warrior_selection|Warrior
trp_custom_warrior_selection_pl|Warrior
trp_custom_sergeant|军 士
trp_custom_sergeant_pl|军 士
trp_custom_sergeant_equip|军 士
trp_custom_sergeant_equip_pl|军 士
trp_custom_sergeant_selection|军 士
trp_custom_sergeant_selection_pl|军 士
trp_custom_heavy_sergeant|Heavy 军 士
trp_custom_heavy_sergeant_pl|Heavy 军 士
trp_custom_heavy_sergeant_equip|Heavy 军 士
trp_custom_heavy_sergeant_equip_pl|Heavy 军 士
trp_custom_heavy_sergeant_selection|Heavy 军 士
trp_custom_heavy_sergeant_selection_pl|Heavy 军 士
trp_rangers_end|{!}na
trp_rangers_end_pl|{!}na
trp_ranger_master|Avantis
trp_ranger_master_pl|Avantis
trp_inventory_backup|{!}Inventory
trp_inventory_backup_pl|{!}Inventory
trp_quickbattle_crossbow_militia|Peasant Musketeer
trp_quickbattle_crossbow_militia_pl|Peasant Musketeer
trp_quickbattle_crossbowman|Armed Citizent
trp_quickbattle_crossbowman_pl|Armed Citizent
trp_quickbattle_infantry|Peasant Levy
trp_quickbattle_infantry_pl|Peasant Levy
trp_quickbattle_warrior|Dueller
trp_quickbattle_warrior_pl|Dueller
trp_quickbattle_squire|俄 罗 斯 骠 骑 兵
trp_quickbattle_squire_pl|俄 罗 斯 骠 骑 兵
trp_quickbattle_knight|俄 罗 斯 枪 骑 兵
trp_quickbattle_knight_pl|俄 罗 斯 枪 骑 兵
trp_psf_messenger|Messenger
trp_psf_messenger_pl|Messenger
trp_psf_deserter|逃 兵
trp_psf_deserter_pl|逃 兵
trp_psf_prison_guard|Prison 近 卫 军
trp_psf_prison_guard_pl|Prison 近 卫 军
trp_psf_castle_guard|Castle 近 卫 军
trp_psf_castle_guard_pl|Castle 近 卫 军
trp_mounted_patrol|Labor 新 兵
trp_mounted_patrol_pl|Labor 新 兵
trp_looter|劫 匪
trp_looter_pl|劫 匪
trp_bandit|强 盗
trp_bandit_pl|强 盗
trp_brigand|Brigand
trp_brigand_pl|Brigand
trp_forest_bandit|Forest 强 盗
trp_forest_bandit_pl|Forest 强 盗
trp_taiga_bandit|法 国 Winter 老 兵
trp_taiga_bandit_pl|法 国 Winter 老 兵
trp_steppe_bandit|Lifeguard
trp_steppe_bandit_pl|Lifeguard
trp_sea_raider|后 备 民 兵 Irregular 步 卒
trp_sea_raider_pl|后 备 民 兵 Irregular 步 卒
trp_mountain_bandit|Labor Desertes
trp_mountain_bandit_pl|Labor Desertes
trp_desert_bandit|Desert 强 盗
trp_desert_bandit_pl|Desert 强 盗
trp_black_khergit_horseman|Black Khergit Horseman
trp_black_khergit_horseman_pl|Black Khergit Horseman
trp_caravan_master|Caravan Master
trp_caravan_master_pl|Caravan Master
trp_kidnapped_girl|Kidnapped Girl
trp_kidnapped_girl_pl|Kidnapped Girl
trp_town_walker_1|Townsman
trp_town_walker_1_pl|Townsman
trp_town_walker_2|Townswoman
trp_town_walker_2_pl|Townswoman
trp_khergit_townsman|Townsman
trp_khergit_townsman_pl|Townsman
trp_khergit_townswoman|Townswoman
trp_khergit_townswoman_pl|Townswoman
trp_sarranid_townsman|Townsman
trp_sarranid_townsman_pl|Townsman
trp_sarranid_townswoman|Townswoman
trp_sarranid_townswoman_pl|Townswoman
trp_village_walker_1|Villager
trp_village_walker_1_pl|Villager
trp_village_walker_2|Villager
trp_village_walker_2_pl|Villager
trp_spy_walker_1|Townsman
trp_spy_walker_1_pl|Townsman
trp_spy_walker_2|Townswoman
trp_spy_walker_2_pl|Townswoman
trp_tournament_master|Tournament Master
trp_tournament_master_pl|Tournament Master
trp_trainer|Trainer
trp_trainer_pl|Trainer
trp_constable_hareck|Constable Hareck
trp_constable_hareck_pl|Constable Hareck
trp_ramun_the_slave_trader|Ramun, the slave trader
trp_ramun_the_slave_trader_pl|Ramun, the slave trader
trp_guide|Quick Jimmy
trp_guide_pl|Quick Jimmy
trp_xerina|Xerina
trp_xerina_pl|Xerina
trp_dranton|Dranton
trp_dranton_pl|Dranton
trp_kradus|Kradus
trp_kradus_pl|Kradus
trp_tutorial_trainer|Training Ground Master
trp_tutorial_trainer_pl|Training Ground Master
trp_tutorial_student_1|{!}tutorial student 1
trp_tutorial_student_1_pl|{!}tutorial student 1
trp_tutorial_student_2|{!}tutorial student 2
trp_tutorial_student_2_pl|{!}tutorial student 2
trp_tutorial_student_3|{!}tutorial student 3
trp_tutorial_student_3_pl|{!}tutorial student 3
trp_tutorial_student_4|{!}tutorial student 4
trp_tutorial_student_4_pl|{!}tutorial student 4
trp_galeas|Galeas
trp_galeas_pl|Galeas
trp_farmer_from_bandit_village|Farmer
trp_farmer_from_bandit_village_pl|Farmer
trp_trainer_1|Trainer
trp_trainer_1_pl|Trainer
trp_trainer_2|Trainer
trp_trainer_2_pl|Trainer
trp_trainer_3|Trainer
trp_trainer_3_pl|Trainer
trp_trainer_4|Trainer
trp_trainer_4_pl|Trainer
trp_trainer_5|Trainer
trp_trainer_5_pl|Trainer
trp_ransom_broker_1|奴 隶 贩 子 /赎 金 经 纪 人
trp_ransom_broker_1_pl|奴 隶 贩 子 /赎 金 经 纪 人
trp_ransom_broker_2|奴 隶 贩 子 /赎 金 经 纪 人
trp_ransom_broker_2_pl|奴 隶 贩 子 /赎 金 经 纪 人
trp_ransom_broker_3|奴 隶 贩 子 /赎 金 经 纪 人
trp_ransom_broker_3_pl|奴 隶 贩 子 /赎 金 经 纪 人
trp_ransom_broker_4|奴 隶 贩 子 /赎 金 经 纪 人
trp_ransom_broker_4_pl|奴 隶 贩 子 /赎 金 经 纪 人
trp_ransom_broker_5|奴 隶 贩 子 /赎 金 经 纪 人
trp_ransom_broker_5_pl|奴 隶 贩 子 /赎 金 经 纪 人
trp_ransom_broker_6|奴 隶 贩 子 /赎 金 经 纪 人
trp_ransom_broker_6_pl|奴 隶 贩 子 /赎 金 经 纪 人
trp_ransom_broker_7|奴 隶 贩 子 /赎 金 经 纪 人
trp_ransom_broker_7_pl|奴 隶 贩 子 /赎 金 经 纪 人
trp_ransom_broker_8|奴 隶 贩 子 /赎 金 经 纪 人
trp_ransom_broker_8_pl|奴 隶 贩 子 /赎 金 经 纪 人
trp_ransom_broker_9|奴 隶 贩 子 /赎 金 经 纪 人
trp_ransom_broker_9_pl|奴 隶 贩 子 /赎 金 经 纪 人
trp_ransom_broker_10|奴 隶 贩 子 /赎 金 经 纪 人
trp_ransom_broker_10_pl|奴 隶 贩 子 /赎 金 经 纪 人
trp_tavern_traveler_1|旅 行 者
trp_tavern_traveler_1_pl|旅 行 者
trp_tavern_traveler_2|旅 行 者
trp_tavern_traveler_2_pl|旅 行 者
trp_tavern_traveler_3|旅 行 者
trp_tavern_traveler_3_pl|旅 行 者
trp_tavern_traveler_4|旅 行 者
trp_tavern_traveler_4_pl|旅 行 者
trp_tavern_traveler_5|旅 行 者
trp_tavern_traveler_5_pl|旅 行 者
trp_tavern_traveler_6|旅 行 者
trp_tavern_traveler_6_pl|旅 行 者
trp_tavern_traveler_7|旅 行 者
trp_tavern_traveler_7_pl|旅 行 者
trp_tavern_traveler_8|旅 行 者
trp_tavern_traveler_8_pl|旅 行 者
trp_tavern_traveler_9|旅 行 者
trp_tavern_traveler_9_pl|旅 行 者
trp_tavern_traveler_10|旅 行 者
trp_tavern_traveler_10_pl|旅 行 者
trp_tavern_bookseller_1|Book 商 人
trp_tavern_bookseller_1_pl|Book 商 人
trp_tavern_bookseller_2|Book 商 人
trp_tavern_bookseller_2_pl|Book 商 人
trp_tavern_minstrel_1|Wandering Minstrel
trp_tavern_minstrel_1_pl|Wandering Minstrel
trp_tavern_minstrel_2|Wandering Bard
trp_tavern_minstrel_2_pl|Wandering Bard
trp_tavern_minstrel_3|Wandering Ashik
trp_tavern_minstrel_3_pl|Wandering Ashik
trp_tavern_minstrel_4|Wandering Skald
trp_tavern_minstrel_4_pl|Wandering Skald
trp_tavern_minstrel_5|Wandering Troubadour
trp_tavern_minstrel_5_pl|Wandering Troubadour
trp_kingdom_heroes_including_player_begin|kingdom heroes including 玩 家 begin
trp_kingdom_heroes_including_player_begin_pl|kingdom heroes including 玩 家 begin
trp_npc1|Lysander De Tolly
trp_npc1_pl|Lysander De Tolly
trp_npc2|上 尉 Leonard
trp_npc2_pl|上 尉 Leonard
trp_npc3|Hans von Rotterdam
trp_npc3_pl|Hans von Rotterdam
trp_npc4|Ulrich von Lichtenstein
trp_npc4_pl|Ulrich von Lichtenstein
trp_npc5|Vidroczky Joska
trp_npc5_pl|Vidroczky Joska
trp_npc6|中 尉 Holmes
trp_npc6_pl|中 尉 Holmes
trp_npc7|上 尉 Nickson
trp_npc7_pl|上 尉 Nickson
trp_npc8|Adolf Schmidt
trp_npc8_pl|Adolf Schmidt
trp_npc9|上 尉 Tom Auldman
trp_npc9_pl|上 尉 Tom Auldman
trp_npc10|上 校 Agovic
trp_npc10_pl|上 校 Agovic
trp_npc11|Adam Speyer
trp_npc11_pl|Adam Speyer
trp_npc12|Alan De-Soisson
trp_npc12_pl|Alan De-Soisson
trp_npc13|Vadocz Balazs
trp_npc13_pl|Vadocz Balazs
trp_npc14|Benyovszki Moricz
trp_npc14_pl|Benyovszki Moricz
trp_npc15|Sir Larrey Burgh
trp_npc15_pl|Sir Larrey Burgh
trp_npc16|少 校 Hubal
trp_npc16_pl|少 校 Hubal
trp_male_hero01|Arthur
trp_male_hero01_pl|Arthur
trp_male_hero02|Hero
trp_male_hero02_pl|Hero
trp_male_hero03|Hero
trp_male_hero03_pl|Hero
trp_male_hero04|Hero
trp_male_hero04_pl|Hero
trp_male_hero05|Hero
trp_male_hero05_pl|Hero
trp_male_hero06|Hero
trp_male_hero06_pl|Hero
trp_male_hero07|Hero
trp_male_hero07_pl|Hero
trp_male_hero08|Hero
trp_male_hero08_pl|Hero
trp_male_hero09|Hero
trp_male_hero09_pl|Hero
trp_male_hero10|Hero
trp_male_hero10_pl|Hero
trp_male_hero11|Hero
trp_male_hero11_pl|Hero
trp_male_hero12|Hero
trp_male_hero12_pl|Hero
trp_male_hero13|Hero
trp_male_hero13_pl|Hero
trp_male_hero14|Hero
trp_male_hero14_pl|Hero
trp_male_hero15|Hero
trp_male_hero15_pl|Hero
trp_male_hero16|Hero
trp_male_hero16_pl|Hero
trp_male_hero17|Hero
trp_male_hero17_pl|Hero
trp_male_hero18|Hero
trp_male_hero18_pl|Hero
trp_male_hero19|Hero
trp_male_hero19_pl|Hero
trp_male_hero20|Hero
trp_male_hero20_pl|Hero
trp_male_hero21|Hero
trp_male_hero21_pl|Hero
